date,avg_aqi,min_aqi,max_aqi,days,avg_pm25,avg_pm10
2015-01-01,472.0,472.0,472.0,1,313.22,607.98
2015-01-02,454.0,454.0,454.0,1,186.18,269.55
2015-01-03,143.0,143.0,143.0,1,87.18,131.9
2015-01-04,319.0,319.0,319.0,1,151.84,241.84
2015-01-05,325.0,325.0,325.0,1,146.6,219.13
2015-01-06,318.0,318.0,318.0,1,149.58,252.1
2015-01-07,353.0,353.0,353.0,1,217.87,376.51
2015-01-08,383.0,383.0,383.0,1,229.9,360.95
2015-01-09,375.0,375.0,375.0,1,201.66,397.43
2015-01-10,376.0,376.0,376.0,1,221.02,361.74
2015-01-11,379.0,379.0,379.0,1,205.41,393.2
2015-01-12,375.0,375.0,375.0,1,212.41,345.63
2015-01-13,366.0,366.0,366.0,1,197.61,301.04
2015-01-14,353.0,353.0,353.0,1,164.39,227.38
2015-01-15,340.0,340.0,340.0,1,166.19,283.93
2015-01-16,356.0,356.0,356.0,1,174.98,309.99
2015-01-17,360.0,360.0,360.0,1,196.46,356.2
2015-01-18,370.0,370.0,370.0,1,201.51,359.75
2015-01-19,362.0,362.0,362.0,1,183.35,305.13
2015-01-20,340.0,340.0,340.0,1,165.63,257.04
2015-01-21,338.0,338.0,338.0,1,159.54,235.27
2015-01-22,332.0,332.0,332.0,1,143.68,183.89
2015-01-23,254.0,254.0,254.0,1,128.73,136.07
2015-01-24,324.0,324.0,324.0,1,164.98,200.02
2015-01-25,333.0,333.0,333.0,1,148.59,203.81
2015-01-26,292.0,292.0,292.0,1,129.34,137.86
2015-01-27,318.0,318.0,318.0,1,154.2,217.2
2015-01-28,397.5,295.0,500.0,2,103.91999999999999,156.9
2015-01-29,268.0,209.0,327.0,2,128.13,277.0
2015-01-30,336.5,328.0,345.0,2,128.94,272.61
2015-01-31,424.0,334.0,514.0,2,126.555,207.06
2015-02-01,570.0,358.0,782.0,2,173.79000000000002,371.05
2015-02-02,631.5,349.0,914.0,2,170.985,219.84
2015-02-03,497.0,334.0,660.0,2,148.70499999999998,194.09
2015-02-04,303.5,294.0,313.0,2,108.955,147.08
2015-02-05,205.5,149.0,262.0,2,95.06,127.42
2015-02-06,246.5,190.0,303.0,2,115.445,330.99
2015-02-07,288.0,247.0,329.0,2,124.725,210.52
2015-02-08,351.0,323.0,379.0,2,109.81,215.69
2015-02-09,303.5,266.0,341.0,2,124.3,109.86
2015-02-10,287.5,256.0,319.0,2,129.23,218.23
2015-02-11,361.0,334.0,388.0,2,91.715,316.14
2015-02-12,315.0,288.0,342.0,2,121.50999999999999,394.97
2015-02-13,425.5,341.0,510.0,2,135.185,328.43
2015-02-14,569.0,377.0,761.0,2,185.645,412.46
2015-02-15,433.0,391.0,475.0,2,148.655,497.37
2015-02-16,447.0,358.0,536.0,2,126.16,310.74
2015-02-17,403.0,327.0,479.0,2,120.94,195.78
2015-02-18,478.5,365.0,592.0,2,144.495,253.53
2015-02-19,389.5,352.0,427.0,2,133.98,193.78
2015-02-20,452.5,317.0,588.0,2,142.20499999999998,162.2
2015-02-21,730.5,320.0,1141.0,2,197.67000000000002,191.03
2015-02-22,474.0,279.0,669.0,2,133.53,107.61
2015-02-23,764.0,281.0,1247.0,2,189.89999999999998,157.01
2015-02-24,382.5,354.0,411.0,2,144.44,238.33
2015-02-25,316.0,292.0,340.0,2,100.59,169.57
2015-02-26,323.0,323.0,323.0,1,140.78,171.64
2015-02-27,315.0,315.0,315.0,1,130.42,163.67
2015-02-28,310.0,310.0,310.0,1,105.86,169.28
2015-03-01,412.0,324.0,500.0,2,66.475,98.89
2015-03-02,207.5,189.0,226.0,2,57.245000000000005,60.15
2015-03-03,337.0,266.0,408.0,2,87.66,112.1
2015-03-04,291.5,200.0,383.0,2,92.475,139.15
2015-03-05,527.5,275.0,780.0,2,139.79,196.19
2015-03-06,322.0,322.0,322.0,1,101.75,163.14
2015-03-07,358.0,216.0,500.0,2,91.50999999999999,90.54
2015-03-08,149.0,108.0,190.0,2,67.4,80.2
2015-03-09,215.0,197.0,233.0,2,98.21000000000001,117.38
2015-03-10,267.5,238.0,297.0,2,96.705,150.92
2015-03-11,302.0,274.0,330.0,2,111.39,176.2
2015-03-12,283.5,252.0,315.0,2,110.97,203.75
2015-03-13,275.5,244.0,307.0,2,103.0,173.89
2015-03-14,221.0,208.0,234.0,2,75.93,105.29
2015-03-15,192.0,165.0,219.0,2,44.2,46.68
2015-03-16,153.0,118.0,188.0,2,38.075,74.14
2015-03-17,224.0,217.0,231.0,2,52.92,104.33
2015-03-18,238.5,191.0,286.0,2,54.14,95.56
2015-03-19,561.5,240.0,883.0,2,87.285,136.67
2015-03-20,487.25,229.0,720.0,4,241.01,168.0
2015-03-21,379.0,91.0,607.0,4,193.715,172.91
2015-03-22,405.0,120.0,707.0,4,225.64999999999998,122.12
2015-03-23,488.4,154.0,818.0,5,98.02,131.42
2015-03-24,317.4,108.0,737.0,5,101.598,179.36
2015-03-25,353.6,111.0,585.0,5,118.228,201.08
2015-03-26,308.0,116.0,616.0,5,106.576,217.9
2015-03-27,271.8,104.0,437.0,5,115.80600000000001,117.81
2015-03-28,271.6,114.0,448.0,5,89.562,212.96
2015-03-29,299.8,124.0,500.0,5,102.338,202.01
2015-03-30,260.0,80.0,500.0,5,81.174,57.0
2015-03-31,208.0,90.0,339.0,6,61.196666666666665,78.64
2015-04-01,218.16666666666666,112.0,324.0,6,74.95833333333333,167.6
